date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:32	223/223	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%222de-17f74e6ad08%22	https://ionicframework.com/robots.txt		(from )
10:24:32	16959/16959	---MCZ	200	added ('OK')	text/html	etag:W/%22423f-17919f237d8%22	https://ionicframework.com/docs/v1/	ionicframework.com/docs/v1/index.html	(from )
10:24:34	374387/374387	---M--	200	added ('OK')	image/png	etag:W/%225b673-17919ef4208%22	https://ionicframework.com/docs/v1/img/meta/ionic-framework-og.png	ionicframework.com/docs/v1/img/meta/ionic-framework-og.png	(from https://ionicframework.com/docs/v1/)
10:24:34	416972/416972	---MCZ	200	added ('OK')	text/css	etag:W/%2265ccc-17919f0c4c0%22	https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07	ionicframework.com/docs/v1/css/site5b83.css	(from https://ionicframework.com/docs/v1/)
10:24:35	2086/2086	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22826-17919ef4208%22	https://ionicframework.com/docs/v1/img/ionic-logo-white.svg	ionicframework.com/docs/v1/img/ionic-logo-white.svg	(from https://ionicframework.com/docs/v1/)
10:24:35	1177/1177	---M--	200	added ('OK')	image/png	etag:W/%22499-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-overview-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-overview-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:36	5261/5261	---M--	200	added ('OK')	image/png	etag:W/%22148d-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-components-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-components-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:37	14871/14871	---MCZ	200	added ('OK')	text/html	etag:W/%223a17-17919f23bc0%22	https://ionicframework.com/docs/v1/platform-customization/	ionicframework.com/docs/v1/platform-customization/index.html	(from https://ionicframework.com/docs/v1/)
10:24:37	22912/22912	---MCZ	200	added ('OK')	text/html	etag:W/%225980-17919f237d8%22	https://ionicframework.com/docs/v1/overview/	ionicframework.com/docs/v1/overview/index.html	(from https://ionicframework.com/docs/v1/)
10:24:37	27542/27542	---MCZ	200	added ('OK')	text/html	etag:W/%226b96-17919f23bc0%22	https://ionicframework.com/docs/v1/api/	ionicframework.com/docs/v1/api/index.html	(from https://ionicframework.com/docs/v1/)
10:24:37	177198/177198	---MCZ	200	added ('OK')	text/html	etag:W/%222b42e-17919f237d8%22	https://ionicframework.com/docs/v1/components/	ionicframework.com/docs/v1/components/index.html	(from https://ionicframework.com/docs/v1/)
10:24:38	615/615	---M--	200	added ('OK')	image/png	etag:W/%22267-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-controllers-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-controllers-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:39	15967/15967	---MCZ	200	added ('OK')	text/html	etag:W/%223e5f-17919f23bc0%22	https://ionicframework.com/docs/v1/guide/	ionicframework.com/docs/v1/guide/index.html	(from https://ionicframework.com/docs/v1/)
10:24:39	16918/16918	---MCZ	200	added ('OK')	text/html	etag:W/%224216-17919f23bc0%22	https://ionicframework.com/docs/v1/getting-help/	ionicframework.com/docs/v1/getting-help/index.html	(from https://ionicframework.com/docs/v1/)
10:24:39	31962/31962	---MCZ	200	added ('OK')	text/html	etag:W/%227cda-17919f237d8%22	https://ionicframework.com/docs/v1/ionic-cli-faq/	ionicframework.com/docs/v1/ionic-cli-faq/index.html	(from https://ionicframework.com/docs/v1/)
10:24:39	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Mar%202022%2015:24:39%20GMT	https://ionicframework.com/docs/v1/cli/	ionicframework.com/docs/v1/cli/index.html	(from https://ionicframework.com/docs/v1/)
10:24:40	5512/5512	---M--	200	added ('OK')	image/png	etag:W/%221588-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-book-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-book-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:41	6632/6632	---M--	200	added ('OK')	image/png	etag:W/%2219e8-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-ionicons-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-ionicons-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:42	13713/13713	---MCZ	200	added ('OK')	text/html	etag:W/%223591-17919f23bc0%22	https://ionicframework.com/docs/v1/concepts/	ionicframework.com/docs/v1/concepts/index.html	(from https://ionicframework.com/docs/v1/)
10:24:42	3610/3610	---M--	200	added ('OK')	image/png	etag:W/%22e1a-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-inputs-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-inputs-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:43	4875/4875	---M--	200	added ('OK')	image/png	etag:W/%22130b-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-forum-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-forum-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:44	1912/1912	---M--	200	added ('OK')	image/png	etag:W/%22778-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-demos-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-demos-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:45	3326/3326	---M--	200	added ('OK')	image/png	etag:W/%22cfe-17919ef4208%22	https://ionicframework.com/docs/v1/img/symbols/docs-cli-symbol@2x.png	ionicframework.com/docs/v1/img/symbols/docs-cli-symbol@2x.png	(from https://ionicframework.com/docs/v1/)
10:24:47	45049/45049	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aff9-17919ef4208%22	https://ionicframework.com/docs/v1/js/lunr.js	ionicframework.com/docs/v1/js/lunr.js	(from https://ionicframework.com/docs/v1/)
10:24:47	12403/12403	---MCZ	200	added ('OK')	application/javascript	etag:W/%223073-17919ef4208%22	https://ionicframework.com/docs/v1/js/site.js	ionicframework.com/docs/v1/js/site.js	(from https://ionicframework.com/docs/v1/)
10:24:48	28743/28743	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227047-17919f237d8%22	https://ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.eot	ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.eot	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:49	28743/28743	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227047-17919f237d8%22	https://ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.eot?	ionicframework.com/docs/v1/fonts/glyphicons-halflings-regulard41d.eot	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:50	28743/28743	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227047-17919f237d8%22	https://ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.woff	ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.woff	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:51	28743/28743	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227047-17919f237d8%22	https://ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.ttf	ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.ttf	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:52	28743/28743	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%227047-17919f237d8%22	https://ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.svg	ionicframework.com/docs/v1/fonts/glyphicons-halflings-regular.svg	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:54	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d794-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons.eot?v=2.0.1	ionicframework.com/docs/v1/fonts/ionicons790f.eot	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:55	143936/143936	---MCZ	200	added ('OK')	font/ttf	etag:W/%2223240-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons.ttf?v=2.0.1	ionicframework.com/docs/v1/fonts/ionicons790f.ttf	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:55	80356/80356	---M--	200	added ('OK')	font/woff	etag:W/%22139e4-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons.woff?v=2.0.1	ionicframework.com/docs/v1/fonts/ionicons790f.woff	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:56	80356/80356	---M--	200	added ('OK')	font/woff	etag:W/%22139e4-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons.woff	ionicframework.com/docs/v1/fonts/ionicons.woff	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:24:58	400219/400219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261b5b-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons.svg?v=2.0.1	ionicframework.com/docs/v1/fonts/ionicons790f.svg	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:25:00	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d794-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons-v2.eot?v=1.3.0	ionicframework.com/docs/v1/fonts/ionicons-v298f3.eot	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
10:25:00	188508/188508	---MCZ	200	added ('OK')	font/ttf	etag:W/%222e05c-17919ef4208%22	https://ionicframework.com/docs/v1/fonts/ionicons-v2.ttf?v=1.3.0	ionicframework.com/docs/v1/fonts/ionicons-v298f3.ttf	(from https://ionicframework.com/docs/v1/css/site.css?v=0480c734724cdc68e9e5c2ada76a8e07)
